Homework_1,Homework_2,Homework_3,Homework_4,Homework_5,Homework_6,Homework_7,Homework_8,Homework_9,Homework_10,Homework_11,Homework_12,Homework_13,Homework_14,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Quiz_9,Quiz_10,Quiz_11,Exam_1,Exam_2,Exam_3,Final_Exam
14.28,14.54,14,14.36,14.55,14.83,14.3,13.75,14.63,14.67,14.67,15,15,15,10,9,8,10,10,8,10,9,9,10,54,30,38,57
15,15,15,14.72,15,15,15,14.75,14.83,15,15,15,15,15,5,6,10,10,10,8,10,10,10,10,55,49,37,57
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,4,10,10,10,10,9,10,8,10,50,32,32,57
15,14.67,15,15,14.75,15,15,15,15,15,15,14,15,15,10,10,6,7,10,10,10,9,10,10,45,31,30,57
15,14.75,14.65,13.19,13.47,14.46,4,2.47,,2,13.52,11.17,12.25,12,8,6,7,4,7,10,8,5,8,10,50,26,26,57
15,15,15,15,15,15,15,14.25,15,15,,14.83,15,,9,10,10,10,10,8,10,10,8,,41,23,24,57
13.28,14.52,15,13.91,14.63,15,14.6,15,13.51,14.42,14.57,14.67,15,12.67,8,9,8,10,10,10,9,9,8,10,46,46,18,57
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,10,10,10,10,10,9,10,52,33,55,56
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,9,10,10,10,10,7,10,46,54,53,56
15,15,15,15,15,15,15,15,15,9.54,15,14,15,15,8,8,4,9,10,10,10,10,9,10,42,26,53,56
15,15,15,15,15,15,14.5,14,15,13,6.33,12,14,15,3,10,8,9,7,10,9,9,5,10,50,37,52,56
15,6,15,14.78,14.88,15,14.3,11.07,14.63,14.54,9.71,9,11,15,10,10,10,9,9,10,10,8,10,10,51,34,51,56
15,15,1,14.78,14.88,15,11,,4,15,13.87,14.5,15,1,5,6,10,10,10,10,9,8,6,10,49,33,51,56
13.89,,15,15,14.04,10.63,9.1,12.83,13.81,10.75,10.97,10.33,15,15,10,10,5,10,10,10,10,10,5,10,50,42,50,56
12.5,14,14.9,14.17,14.88,14.67,13.55,12,14.31,13.38,9.71,11.17,14.42,1,9,8,9,,10,9,9,10,1,10,44,43,45,56
15,15,15,15,15,15,15,15,15,15,15,,15,0,10,10,9,10,9,10,10,10,9,10,55,43,41,56
15,14.86,14.5,14.67,12.63,14.33,12.5,13.42,14.5,11.63,13.79,12.83,14,11.67,10,10,10,10,6,9,10,3,5,8,50,36,40,56
,13.04,14,,,,14.8,8.48,,14.54,,11.17,,14,7,3,10,4,10,10,9,9,7,8,38,30,40,56
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,7,10,6,10,10,10,6,10,45,25,40,56
14.89,14.86,14.9,14.89,14.88,14.5,14.8,13.15,12.83,12.75,13,11.17,14.75,15,10,10,10,9,10,9,10,10,10,10,35,30,36,56
15,15,15,14.61,14.88,15,15,7,9,0,1.03,7.33,14.75,14.67,6,10,10,10,10,10,7,9,7,10,57,51,32,56
15,,15,,,11.63,15,15,15,15,15,15,,15,10,10,10,10,10,10,10,10,10,10,59,50,32,56
13.67,14.54,14.9,14.83,14.75,14.67,13.05,15,12.97,13.25,14.52,1,,,10,10,9,8,9,7,10,9,9,0,57,30,31,56
10.39,11.88,0.5,11.78,12.29,14.33,12,14,8.85,12.83,5,12.42,9.75,8,5,5,6,10,10,10,9,7,10,10,26,27,31,56
13.89,15,15,15,14.75,15,15,15,14.83,13.17,,,15,,9,4,10,10,8,6,10,9,3,,56,35,26,56
15,15,15,,,15,14.5,,4,,,,,,10,2,,,,,8,,,,37,47,23,56
13.94,9.33,7,,,,,,,,,,,,3,2,10,6,6,3,10,6,5,9,28,12,23,56
12.67,12.33,15,11.89,13.63,15,15,7.52,14.67,14.88,11.37,,15,,10,10,7,6,7,10,8,8,7,2,46,22,14,56
15,15,15,15,15,15,15,15,15,14.38,14.21,13.67,15,13,5,4,10,9,8,10,9,10,8,10,51,44,53,55
